tgpagellamath-regular	version 1.543
nanummyeongjobold	3.01;ps 1;hotconv 1.0.56;makeotf.lib2.0.21325
dejavu serif bold	2.34
dejavu sans bold	2.34
dejavu sans mono bold	2.34
dejavu sans	2.34
dejavu sans mono	2.34
dejavu serif	2.34
un dinaru bold	1.02
un gungseo	1.02
un dinaru	1.02
un dotum bold	1.02
un batang	1.02
un dinaru light	1.02
un pilgi bold	1.02
un batang bold	1.02
un graphic bold	1.02
un pilgi	1.02
un dotum	1.02
un graphic	1.02
droid arabic naskh bold	1.00
droid sans armenian	1.01
droid arabic naskh	1.00
droid sans japanese	1.20
droid sans fallback	1.00c
droid sans ethiopic bold	1.03
droid sans hebrew	1.01
droid sans ethiopic	1.03
droid sans georgian	1.01
droid sans hebrew bold	1.00
droid sans thai	1.00
dejavu serif condensed	2.34
dejavu sans condensed bold oblique	2.34
dejavu serif bold italic	2.34
dejavu sans condensed bold	2.34
dejavu sans mono oblique	2.34
dejavu sans oblique	2.34
dejavu sans extralight	2.34
dejavu serif italic	2.34
dejavu serif condensed bold italic	2.34
dejavu sans mono bold oblique	2.34
dejavu sans condensed	2.34
dejavu serif condensed italic	2.34
dejavu serif condensed bold	2.34
dejavu sans condensed oblique	2.34
dejavu sans bold oblique	2.34
accanthis adf std no2 bold italic	1.004
accanthis adf std no2 regular	1.004
gillius adf cd italic	1.007
gillius adf cd regular	1.007
accanthis adf std no2 bold	1.004
accanthis adf std no2 italic	1.004
accanthis adf std italic	1.004
gillius adf no2 cd bold	1.006
accanthis adf std regular	1.004
accanthis adf std bold italic	1.004
gillius adf no2 cd bold italic	1.006
gillius adf no2 cd italic	1.006
gillius adf cd bold italic	1.007
gillius adf cd bold	1.007
accanthis adf std bold	1.002
gillius adf no2 cd regular	1.006
wenquanyi micro hei	0.2.0-beta
wenquanyi micro hei mono	0.2.0-beta
fontawesome regular	3.2.0 2013
trebuchet ms italic	1.22
verdana bold	2.35
georgia italic	2.05
webdings	1.03
courier new bold	2.82
times new roman bold	2.82
comic sans ms bold	2.10
georgia	2.05
times new roman bold italic	2.82
courier new	2.82
courier new italic	2.82
arial black	2.35
comic sans ms	2.10
arial italic	2.82
verdana bold italic	2.35
georgia bold	2.05
impact	2.35
trebuchet ms bold italic	1.22
trebuchet ms bold	1.22
arial	2.82
arial bold italic	2.82
times new roman italic	2.82
trebuchet ms	1.22
courier new bold italic	2.82
times new roman	2.82
arial bold	2.82
andale mono	2.00
georgia bold italic	2.05
verdana	2.35
verdana italic	2.35
linux libertine mono o	5.1.7
lobster two bold italic	001.001
cabin italic	001.001
lucida sans unicode	2.00
trebuchet ms bold italic	1.22
cambria italic	1.01
pecita	3.2.4
corbel italic	1.01
consolas bold	1.00
times new roman bold italic	2.90
mathematica4-bold	2.00
georgia bold italic	2.10
constantia	1.01
consolas italic	1.00
symbol	1.60
arial bold	3.00
courier new	2.90
lucida console	1.60
georgia	2.12
constantia bold	1.01
trebuchet ms	1.23
cambria bold italic	1.01
comic sans ms	2.20
trebuchet ms bold	1.22
calibri bold	1.02
1942 report	2001 freeware
carbontype	1.0
cambria	1.02
cambria math	1.02
impact	2.35
times new roman italic	2.90
webdings	1.03
tahoma	3.14
mathematica4mono	2.00
candara	1.01
tahoma bold	3.14
candara bold italic	1.01
arial italic	2.90
mathematica4mono-bold	2.00
candara italic	1.01
calibri	1.02
consolas bold italic	1.00
angelface	001.001
constantia bold italic	1.01
verdana	2.43
mathematica4	2.00
consolas	1.00
candara bold	1.01
corbel	1.01
arial bold italic	2.90
verdana italic	2.40
verdana bold italic	2.40
asana math	000.935
remington noiseless	2.9 8/9/05
arial black	2.35
wingdings 2	1.55
microsoft sans serif	1.41
cambria bold	1.02
georgia italic	2.10
georgia bold	2.10
verdana bold	2.40
andale mono	2.00
calibri italic	1.02
comic sans ms bold	2.10
calibri bold italic	1.02
amandine	1998; 1.0, initial release
corbel bold	1.01
arial	3.00
constantia italic	1.01
commercial script	1.0 wed sep 07 14:17:38 1994
courier new bold italic	2.90
courier new italic	2.90
wingdings 3	1.55
corbel bold italic	1.01
times new roman bold	3.00
courier new bold	2.90
times new roman	3.00
trebuchet ms italic	1.22
wingdings	2.55
opendyslexicalta bold	002.001
opendyslexic bold	002.001
opendyslexic regular	002.001
opendyslexicalta bold italic	002.001
opendyslexic bold italic	002.001
opendyslexicmono regular	001.001
opendyslexicalta italic	002.001
opendyslexicalta regular	002.001
opendyslexic italic	002.001
roughtypewriter	001.001
roughtypewriter bold italic	001.001
roughtypewriter italic	001.001
albertsthal typewriter	1.1, february 18th 2014, initial release
kerkissans	001.000
kerkissmallcaps	001.000
kerkis sans bold	001.000
kerkis sans bold italic	001.000
kerkissmallcaps bold	001.000
kerkis bold	001.000
kerkissans italic	001.000
kerkis	001.000
kerkis italic	001.000
kerkissanssmallcaps	001.000
kerkis bold italic	001.000
ubuntu mono italic	0.80
ubuntu	0.80
ubuntu light italic	0.80
ubuntu condensed	0.80
ubuntu mono bold italic	0.80
ubuntu medium	0.80
ubuntu mono	0.80
ubuntu bold italic	0.80
ubuntu italic	0.80
ubuntu mono bold	0.80
ubuntu light	0.80
ubuntu medium italic	0.80
ubuntu bold	0.80
bitstream vera sans mono bold	release 1.10
bitstream vera sans mono bold oblique	release 1.10
bitstream vera sans mono	release 1.10
bitstream vera sans mono oblique	release 1.10
